Category: All categories

Month,mlb: (United States)
2004-01,5
2004-02,7
2004-03,9
2004-04,14
2004-05,12
2004-06,15
2004-07,17
2004-08,12
2004-09,14
2004-10,21
2004-11,6
2004-12,8
2005-01,6
2005-02,7
2005-03,9
2005-04,17
2005-05,16
2005-06,19
2005-07,22
2005-08,16
2005-09,17
2005-10,20
2005-11,7
2005-12,9
2006-01,7
2006-02,7
2006-03,11
2006-04,23
2006-05,20
2006-06,22
2006-07,25
2006-08,20
2006-09,19
2006-10,21
2006-11,9
2006-12,9
2007-01,7
2007-02,9
2007-03,14
2007-04,26
2007-05,21
2007-06,29
2007-07,29
2007-08,25
2007-09,25
2007-10,26
2007-11,11
2007-12,12
2008-01,8
2008-02,10
2008-03,17
2008-04,24
2008-05,21
2008-06,26
2008-07,30
2008-08,22
2008-09,23
2008-10,24
2008-11,10
2008-12,12
2009-01,11
2009-02,12
2009-03,15
2009-04,24
2009-05,23
2009-06,28
2009-07,30
2009-08,22
2009-09,19
2009-10,25
2009-11,12
2009-12,10
2010-01,9
2010-02,8
2010-03,13
2010-04,24
2010-05,23
2010-06,28
2010-07,31
2010-08,26
2010-09,24
2010-10,32
2010-11,10
2010-12,10
2011-01,9
2011-02,10
2011-03,17
2011-04,32
2011-05,28
2011-06,34
2011-07,38
2011-08,29
2011-09,32
2011-10,35
2011-11,10
2011-12,11
2012-01,9
2012-02,11
2012-03,17
2012-04,34
2012-05,32
2012-06,38
2012-07,43
2012-08,31
2012-09,34
2012-10,44
2012-11,10
2012-12,12
2013-01,9
2013-02,11
2013-03,16
2013-04,35
2013-05,32
2013-06,41
2013-07,45
2013-08,42
2013-09,40
2013-10,40
2013-11,9
2013-12,11
2014-01,9
2014-02,10
2014-03,17
2014-04,38
2014-05,33
2014-06,37
2014-07,42
2014-08,36
2014-09,37
2014-10,37
2014-11,9
2014-12,11
2015-01,9
2015-02,9
2015-03,13
2015-04,41
2015-05,41
2015-06,48
2015-07,51
2015-08,49
2015-09,48
2015-10,58
2015-11,12
2015-12,11
2016-01,9
2016-02,9
2016-03,15
2016-04,55
2016-05,57
2016-06,59
2016-07,61
2016-08,53
2016-09,56
2016-10,70
2016-11,20
2016-12,10
2017-01,8
2017-02,9
2017-03,16
2017-04,56
2017-05,55
2017-06,64
2017-07,68
2017-08,59
2017-09,60
2017-10,88
2017-11,18
2017-12,13
2018-01,11
2018-02,13
2018-03,25
2018-04,63
2018-05,62
2018-06,68
2018-07,72
2018-08,68
2018-09,72
2018-10,93
2018-11,11
2018-12,14
2019-01,13
2019-02,17
2019-03,30
2019-04,65
2019-05,65
2019-06,78
2019-07,75
2019-08,75
2019-09,72
2019-10,100
2019-11,11
2019-12,13
2020-01,12
2020-02,14
2020-03,15
2020-04,10
2020-05,11
2020-06,17
2020-07,32
2020-08,53
2020-09,54
2020-10,68
2020-11,7
2020-12,8
2021-01,9
2021-02,12
2021-03,16
2021-04,69
2021-05,67
2021-06,69
2021-07,81
2021-08,72
2021-09,74
2021-10,79
2021-11,15
2021-12,7
2022-01,7
2022-02,8
